time,linescan,servo,motor,1000,45,10
Time,Linescan,Servo PWM,Motor PWM,,,
s,ADC,PWM (us),%DC,,,
0.05,"[0, 54914, 55895, 56785, 56721, 57907, 59054, 58390, 59521, 60048, 60594, 60217, 61284, 62369, 62113, 63024, 62442, 62702, 63680, 62857, 63733, 64587, 64031, 65434, 64782, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 64862, 61486, 58736, 56663, 53875, 52529, 50389, 50075, 48940, 49490, 48027, 48380, 48022, 48165, 47433, 46944, 46930, 46205, 44850, 47033, 45111, 45020, 45082, 45021, 44526, 44993, 44159, 43668, 43876, 43627, 42814, 43171, 42572, 42325, 42128, 42182, 40966, 41138, 41573, 40702, 40815, 40480, 40279, 39840, 39720, 39308, 38971, 39027, 38298, 38351, 37414, 37273, 37136, 35612, 2165, 2028]",1590.3125,7,,,
0.122,"[0, 54585, 55581, 56450, 56359, 57549, 58772, 58177, 59217, 59760, 60298, 60019, 61060, 61949, 61720, 62750, 62035, 62380, 63352, 62560, 63443, 64320, 63716, 65173, 64561, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65014, 61794, 58944, 56784, 53984, 52483, 50283, 49821, 48613, 48989, 47535, 47934, 47581, 47577, 46975, 46489, 46443, 45714, 44323, 46500, 44676, 44656, 44587, 44548, 43986, 44492, 43624, 43135, 43418, 43210, 42472, 42803, 42017, 41917, 41579, 41739, 40557, 40769, 41199, 40326, 40394, 40105, 39871, 39544, 39398, 38948, 38594, 38681, 37951, 38006, 37021, 36913, 36751, 35206, 2139, 1998]",1607.421875,7,,,
0.195,"[0, 54267, 55322, 56191, 56068, 57218, 58332, 57920, 59194, 59636, 60141, 59766, 60870, 61803, 61698, 62873, 62252, 62534, 63685, 62799, 63669, 64615, 64051, 65383, 64997, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 63999, 61293, 58986, 55914, 54077, 51563, 50821, 49280, 49320, 47540, 47945, 47528, 47476, 46837, 46343, 46238, 45476, 44023, 46279, 44431, 44487, 44518, 44427, 43784, 44322, 43416, 43011, 43210, 42971, 42270, 42629, 41865, 41820, 41618, 41703, 40474, 40618, 41118, 40185, 40301, 39971, 39733, 39344, 39191, 38761, 38363, 38439, 37679, 37769, 36938, 36791, 36615, 35040, 2148, 2060]",1607.421875,7,,,
0.268,"[0, 53137, 54396, 55390, 55265, 56292, 57591, 57234, 58544, 59160, 59769, 59535, 60582, 61500, 61299, 62576, 62118, 62586, 63856, 63089, 64001, 64926, 64391, 65535, 65362, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 63803, 60585, 58534, 55494, 54155, 51925, 51826, 49514, 49364, 48693, 48347, 47342, 46596, 46343, 45502, 43970, 45984, 44057, 44145, 44142, 44030, 43497, 43999, 43101, 42671, 42888, 42651, 41896, 42319, 41494, 41379, 41177, 41291, 40110, 40331, 40731, 39741, 39792, 39553, 39401, 38939, 38742, 38249, 37927, 37960, 37231, 37301, 36268, 36184, 36051, 34609, 2134, 2029]",1607.421875,7,,,
0.34,"[0, 51792, 53238, 54335, 54382, 55578, 56807, 56471, 57729, 58394, 59093, 59070, 60111, 61236, 60997, 62336, 61911, 62310, 63581, 63028, 64070, 65081, 64608, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 63642, 60425, 58839, 55877, 55193, 52593, 52221, 51254, 50744, 49614, 48497, 47859, 46582, 44686, 46491, 44225, 44068, 43951, 43782, 43145, 43703, 42763, 42303, 42424, 42086, 41483, 41941, 41205, 41112, 40855, 40985, 39852, 40059, 40499, 39559, 39582, 39285, 39134, 38772, 38599, 38197, 37796, 37968, 37275, 37207, 36259, 36054, 35889, 34467, 2155, 2005]",1618.828125,7,,,
0.413,"[0, 50279, 51779, 52912, 53034, 54130, 55611, 55435, 56821, 57383, 58016, 58002, 59315, 60231, 60188, 61590, 61264, 61755, 63154, 62516, 63617, 64725, 64257, 65535, 65506, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 64842, 63288, 60130, 59180, 55959, 55419, 54403, 53633, 52222, 51080, 50273, 48967, 46780, 48433, 45807, 45514, 45120, 44515, 43603, 43818, 42800, 42247, 42478, 42119, 41358, 41867, 41207, 41058, 40847, 40918, 39767, 39883, 40402, 39510, 39562, 39275, 39150, 38807, 38677, 38260, 37894, 37930, 37304, 37370, 36443, 36161, 36019, 34544, 2175, 2035]",1618.828125,7,,,
0.486,"[0, 48519, 50021, 51326, 51398, 52532, 54027, 54006, 55377, 56125, 56781, 56872, 58143, 59157, 59179, 60533, 60300, 60893, 62291, 61768, 62969, 63928, 63622, 65253, 65111, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 63489, 62583, 58994, 58300, 57233, 56514, 54855, 53466, 52507, 51035, 48908, 50597, 47723, 47252, 46720, 46107, 45050, 44992, 43669, 42799, 42787, 42305, 41406, 41791, 41125, 40995, 40718, 40803, 39647, 39798, 40191, 39354, 39534, 39269, 39083, 38716, 38710, 38345, 38021, 38071, 37454, 37406, 36464, 36197, 36094, 34569, 2161, 2042]",1618.828125,7,,,
0.558,"[0, 47175, 48736, 50131, 50438, 51753, 53193, 53136, 54727, 55365, 56110, 56234, 57652, 58582, 58616, 60148, 59949, 60524, 62011, 61532, 62589, 63671, 63281, 64989, 65008, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65506, 64783, 60953, 60309, 59289, 58545, 56773, 55424, 54509, 52807, 50555, 52251, 49322, 48691, 48162, 47473, 46317, 46301, 44779, 43776, 43692, 43001, 41956, 42049, 41316, 41116, 40843, 40981, 39807, 39991, 40373, 39448, 39547, 39279, 39179, 38843, 38820, 38449, 38127, 38135, 37483, 37486, 36534, 36288, 36215, 34698, 2166, 2044]",1607.421875,7,,,
