time,linescan,servo,motor,,1000,125,20,2
Time,Linescan,Servo PWM,Motor PWM,,,,,
s,ADC,PWM (us),%DC,,,,,
0.0195,"[0, 15728, 16091, 16275, 16267, 16484, 16702, 16646, 16961, 17138, 17469, 17490, 17818, 18180, 18214, 18613, 18604, 18825, 19324, 19235, 19683, 20053, 20069, 20651, 20739, 21397, 21718, 22176, 23434, 25661, 28986, 32522, 36579, 41176, 45627, 50678, 56738, 62624, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61571, 56288, 50285, 46096, 39717, 36611, 32887, 29464, 26417, 24398, 23618, 22943, 22120, 22719, 21661, 21489, 21326, 21146, 20831, 20975, 20547, 20207, 20187, 20024, 19702, 19791, 19574, 19502, 19464, 19569, 19139, 19243, 19478, 19112, 19139, 19012, 18938, 18834, 18823, 18652, 18606, 18626, 18367, 18347, 17967, 17909, 17921, 17332, 2162, 2048]",1577.578125,10,,,,,
0.0555,"[0, 15737, 16081, 16257, 16297, 16584, 16797, 16770, 17059, 17171, 17426, 17414, 17787, 18076, 18200, 18592, 18584, 18762, 19259, 19127, 19540, 19881, 19973, 20544, 20640, 21303, 21654, 22018, 23182, 25297, 28555, 32022, 36115, 40791, 45130, 50098, 56043, 61813, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 63343, 57575, 52231, 46499, 42455, 36533, 33578, 30130, 26866, 24417, 23280, 22886, 22294, 21515, 22146, 21097, 20955, 20871, 20667, 20432, 20543, 20046, 19807, 19862, 19679, 19345, 19447, 19158, 19070, 19042, 19121, 18744, 18772, 19042, 18665, 18736, 18587, 18546, 18416, 18351, 18201, 18126, 18185, 17928, 17952, 17586, 17436, 17441, 16890, 2133, 2033]",1583.28125,10,,,,,
0.092,"[0, 15681, 16051, 16267, 16270, 16443, 16687, 16598, 16895, 17042, 17286, 17287, 17634, 17864, 17910, 18314, 18356, 18457, 18918, 18814, 19183, 19521, 19507, 20027, 20131, 20788, 21072, 21342, 21991, 22766, 24780, 27472, 31038, 35200, 39200, 43693, 49155, 54423, 59309, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 64617, 58857, 53655, 47631, 43465, 37280, 34280, 30617, 27271, 24519, 22809, 22354, 21711, 20997, 21578, 20537, 20404, 20215, 20053, 19791, 19924, 19527, 19199, 19164, 18954, 18689, 18714, 18530, 18456, 18380, 18448, 18058, 18068, 18290, 17911, 17981, 17869, 17830, 17681, 17602, 17425, 17332, 17385, 17195, 17165, 16772, 16655, 16645, 16059, 2143, 1995]",1583.28125,10,,,,,
0.129,"[0, 15731, 16045, 16230, 16294, 16495, 16712, 16584, 16889, 16955, 17269, 17167, 17537, 17765, 17815, 18172, 18170, 18345, 18777, 18651, 18980, 19271, 19251, 19746, 19778, 20347, 20606, 20867, 21438, 21859, 22749, 24622, 27495, 31194, 34958, 38993, 44023, 48910, 53598, 60693, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 64949, 59299, 54109, 48011, 43744, 37537, 34433, 30766, 27323, 24400, 22494, 21931, 21284, 20514, 21099, 20080, 19908, 19797, 19626, 19352, 19472, 18996, 18682, 18629, 18457, 18164, 18258, 18021, 17932, 17796, 17859, 17471, 17528, 17704, 17381, 17377, 17237, 17118, 16959, 16899, 16726, 16657, 16702, 16442, 16393, 15991, 15872, 15886, 15383, 2167, 2043]",1577.578125,10,,,,,
0.165,"[0, 15531, 15900, 16072, 16023, 16286, 16499, 16419, 16698, 16799, 17000, 16947, 17214, 17469, 17550, 17892, 17857, 17959, 18397, 18226, 18559, 18822, 18796, 19311, 19386, 19941, 20175, 20375, 20948, 21237, 21927, 23230, 25855, 29228, 32703, 36646, 41358, 46071, 50446, 57294, 62358, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61947, 56371, 51141, 45415, 41251, 35348, 32418, 28854, 25549, 23045, 21650, 21250, 20627, 19933, 20429, 19481, 19301, 19129, 18986, 18720, 18806, 18372, 18066, 18056, 17843, 17553, 17639, 17407, 17339, 17198, 17180, 16815, 16831, 16963, 16623, 16613, 16466, 16386, 16197, 16142, 15912, 15798, 15784, 15591, 15542, 15202, 15089, 15087, 14631, 2166, 2033]",1571.875,10,,,,,
0.2015,"[0, 15497, 15792, 15991, 15962, 16160, 16382, 16239, 16567, 16647, 16853, 16835, 17150, 17343, 17379, 17678, 17634, 17723, 18057, 17941, 18282, 18623, 18566, 19102, 19142, 19616, 19855, 19990, 20539, 20888, 21575, 22813, 25313, 28587, 32054, 35906, 40542, 45204, 49548, 56368, 61327, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 62932, 58430, 52933, 47673, 42198, 38157, 32747, 29914, 26562, 23686, 21719, 20912, 20557, 19990, 19337, 19773, 18875, 18735, 18575, 18383, 18118, 18195, 17785, 17473, 17471, 17332, 17009, 17029, 16801, 16651, 16574, 16593, 16198, 16207, 16344, 15937, 15892, 15730, 15630, 15477, 15448, 15264, 15165, 15150, 14892, 14863, 14525, 14439, 14492, 13969, 2176, 2022]",1566.171875,10,,,,,
0.238,"[0, 15177, 15471, 15625, 15563, 15700, 15973, 15843, 16119, 16249, 16473, 16358, 16676, 16858, 16818, 17131, 17078, 17167, 17559, 17414, 17778, 18035, 17982, 18431, 18466, 18890, 19124, 19243, 19724, 20044, 20591, 21413, 23527, 26535, 29684, 33408, 37748, 42162, 46299, 52852, 57629, 63833, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 64891, 58940, 54429, 48991, 44065, 38829, 35068, 30089, 27425, 24291, 21831, 20371, 19657, 19388, 18855, 18182, 18717, 17840, 17672, 17577, 17328, 17069, 17068, 16789, 16479, 16523, 16329, 16001, 16026, 15785, 15680, 15547, 15565, 15190, 15185, 15257, 14875, 14870, 14695, 14606, 14422, 14394, 14184, 14138, 14098, 13841, 13792, 13527, 13414, 13474, 13044, 2162, 2042]",1566.171875,10,,,,,
0.274,"[0, 14794, 15139, 15263, 15238, 15405, 15647, 15554, 15744, 15867, 16060, 16031, 16300, 16529, 16533, 16769, 16711, 16829, 17202, 17071, 17363, 17613, 17554, 18037, 18133, 18622, 18854, 19042, 19644, 20320, 22185, 24634, 27680, 31430, 35030, 39060, 43921, 48614, 52991, 59703, 64726, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 62967, 56713, 52147, 47480, 42549, 38179, 33687, 30102, 26492, 23962, 21182, 20080, 19274, 18961, 18589, 18187, 18000, 17531, 16993, 17442, 16649, 16570, 16495, 16334, 16155, 16169, 15795, 15591, 15584, 15439, 15215, 15285, 15094, 14959, 14883, 14847, 14531, 14518, 14705, 14349, 14326, 14169, 14059, 13924, 13865, 13728, 13723, 13793, 13741, 13747, 13590, 13545, 13710, 13407, 2159, 2057]",1560.46875,10,,,,,
