time,linescan,servo,motor,
Time,Linescan,Servo PWM,Motor PWM,
ms,ADC,PWM (us),%DC,
7,"[0, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 3006, 3575]",0.0,7.0,
51,"[0, 8498, 8729, 8762, 8771, 8867, 8963, 8922, 9066, 9138, 9281, 9229, 9430, 9505, 9560, 9684, 9630, 9734, 10001, 9868, 10101, 10212, 10222, 10420, 10515, 10780, 11228, 12180, 13695, 15387, 17330, 19285, 21353, 23749, 26186, 28634, 31919, 34672, 37193, 41171, 43439, 46104, 47904, 50406, 51198, 53043, 54169, 55811, 55908, 56247, 55499, 57493, 56589, 56414, 56268, 56415, 55323, 54890, 53342, 52746, 50818, 49499, 46824, 45708, 41765, 38660, 36183, 33120, 29967, 26742, 24708, 22354, 20325, 17990, 16124, 14473, 13147, 12515, 12245, 12226, 12020, 12054, 11794, 11854, 11794, 11776, 11721, 11652, 11674, 11535, 11319, 11777, 11460, 11555, 11618, 11618, 11621, 11718, 11699, 11799, 12214, 12846, 13493, 14709, 15592, 16737, 18050, 19550, 20515, 22053, 23741, 24900, 26525, 27990, 29507, 30857, 32423, 33716, 35010, 36545, 37642, 39151, 40022, 41189, 42967, 42268, 2118, 2057]",1744.296875,7.0,
124,"[0, 11928, 12203, 12313, 12333, 12472, 12624, 12543, 12775, 12894, 13126, 13048, 13343, 13527, 13523, 13696, 13733, 13824, 14202, 14081, 14341, 14558, 14541, 14878, 15020, 15479, 16259, 17791, 20215, 22949, 26231, 29358, 32736, 36744, 40621, 44707, 49887, 54393, 58593, 65030, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65402, 60471, 56402, 51313, 46257, 40968, 37673, 33955, 30691, 26883, 23768, 21239, 19152, 18211, 17702, 17712, 17424, 17517, 17054, 17134, 17031, 17086, 16962, 16847, 16911, 16700, 16294, 17015, 16567, 16715, 16811, 16826, 16795, 17093, 16966, 17037, 17834, 18935, 20083, 21994, 23451, 25347, 27456, 29885, 31415, 33942, 36693, 38524, 41354, 43755, 46129, 48271, 50885, 53061, 55060, 57503, 59258, 61763, 63207, 65228, 65535, 65535, 2127, 2055]",1459.140625,7.0,
197,"[0, 11980, 12251, 12432, 12416, 12466, 12635, 12578, 12771, 12921, 13173, 13096, 13347, 13499, 13613, 13772, 13770, 13875, 14232, 14101, 14419, 14580, 14617, 15018, 15070, 15519, 16284, 17922, 20407, 23154, 26392, 29549, 32997, 37010, 40929, 45004, 50292, 54797, 59037, 65463, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65442, 60431, 56261, 51292, 46222, 40972, 37661, 33846, 30564, 26820, 23740, 21204, 19068, 18260, 17799, 17782, 17471, 17552, 17102, 17202, 17052, 17106, 17010, 16826, 16925, 16702, 16409, 17100, 16624, 16732, 16847, 16874, 16887, 17161, 17055, 17173, 17879, 18934, 20181, 22007, 23477, 25420, 27584, 30030, 31553, 34070, 36826, 38679, 41468, 43891, 46400, 48602, 51132, 53305, 55187, 57737, 59522, 62038, 63480, 65427, 65535, 65535, 2143, 2030]",1521.875,7.0,
270,"[0, 11966, 12289, 12333, 12423, 12550, 12678, 12597, 12816, 12946, 13193, 13175, 13412, 13518, 13556, 13767, 13807, 13886, 14198, 14096, 14379, 14594, 14594, 15021, 15098, 15573, 16177, 17723, 20127, 22852, 26034, 29156, 32580, 36522, 40399, 44367, 49679, 54150, 58399, 64808, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 60802, 56790, 51790, 46771, 41416, 37994, 34260, 31008, 27215, 24049, 21524, 19332, 18296, 17847, 17858, 17527, 17588, 17148, 17262, 17150, 17156, 17090, 16977, 16998, 16758, 16394, 17118, 16656, 16805, 16937, 16945, 16970, 17247, 17120, 17176, 17840, 18863, 20058, 21956, 23441, 25341, 27461, 29857, 31451, 33940, 36650, 38480, 41174, 43649, 46138, 48310, 50862, 53062, 55000, 57474, 59284, 61761, 63133, 65183, 65535, 65535, 2118, 2017]",1521.875,7.0,
343,"[0, 11935, 12182, 12294, 12325, 12455, 12647, 12522, 12741, 12889, 13113, 13065, 13332, 13439, 13490, 13705, 13726, 13817, 14118, 14003, 14322, 14540, 14573, 14932, 15027, 15464, 16139, 17664, 20081, 22824, 26069, 29197, 32585, 36573, 40467, 44546, 49827, 54268, 58412, 64948, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 60877, 56755, 51713, 46645, 41369, 38004, 34226, 30875, 27165, 24047, 21422, 19268, 18288, 17777, 17832, 17515, 17598, 17147, 17218, 17070, 17084, 17010, 16843, 16902, 16785, 16384, 17106, 16579, 16683, 16797, 16913, 16867, 17160, 17069, 17130, 17829, 18894, 20050, 21963, 23443, 25371, 27522, 29935, 31409, 33962, 36765, 38640, 41329, 43788, 46282, 48515, 51043, 53207, 55239, 57704, 59520, 62040, 63475, 65413, 65535, 65535, 2166, 2053]",1521.875,7.0,
415,"[0, 11926, 12151, 12300, 12304, 12459, 12614, 12556, 12724, 12860, 13139, 13070, 13332, 13464, 13486, 13713, 13762, 13772, 14125, 14014, 14345, 14467, 14544, 14907, 14983, 15459, 16096, 17649, 20083, 22833, 26074, 29206, 32645, 36571, 40444, 44553, 49748, 54269, 58493, 64924, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 60820, 56737, 51745, 46678, 41343, 37976, 34170, 30903, 27171, 24050, 21415, 19267, 18309, 17803, 17810, 17500, 17517, 17054, 17180, 17142, 17142, 17036, 16890, 16958, 16717, 16351, 17108, 16647, 16743, 16840, 16974, 16944, 17193, 17059, 17080, 17842, 18877, 20086, 21976, 23502, 25376, 27533, 29929, 31468, 34004, 36775, 38654, 41284, 43810, 46303, 48528, 51035, 53211, 55205, 57767, 59515, 62015, 63497, 65412, 65535, 65535, 2162, 2048]",1521.875,7.0,
488,"[0, 11922, 12191, 12235, 12286, 12427, 12630, 12536, 12731, 12840, 13077, 13029, 13324, 13410, 13473, 13692, 13682, 13753, 14086, 13963, 14251, 14438, 14480, 14861, 15032, 15451, 16105, 17651, 20042, 22753, 25955, 29157, 32580, 36517, 40363, 44402, 49703, 54173, 58349, 64795, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 60782, 56690, 51638, 46551, 41281, 37902, 34098, 30819, 27091, 23982, 21369, 19225, 18285, 17783, 17802, 17402, 17439, 17072, 17164, 17117, 17133, 16983, 16845, 16919, 16738, 16341, 17017, 16519, 16684, 16789, 16910, 16821, 17162, 17042, 17079, 17773, 18881, 20044, 21896, 23353, 25209, 27382, 29876, 31314, 33891, 36546, 38470, 41156, 43596, 46159, 48362, 50848, 52972, 54962, 57452, 59246, 61817, 63128, 65178, 65535, 65535, 2141, 1994]",1521.875,7.0,
561,"[0, 11908, 12201, 12309, 12284, 12384, 12590, 12558, 12793, 12839, 13084, 13027, 13236, 13452, 13498, 13740, 13693, 13776, 14137, 14055, 14338, 14517, 14525, 14893, 14973, 15463, 16154, 17647, 20122, 22899, 26116, 29236, 32657, 36619, 40594, 44655, 49966, 54404, 58599, 65152, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 60987, 56902, 51864, 46723, 41443, 38020, 34205, 30947, 27163, 24034, 21469, 19293, 18245, 17809, 17805, 17482, 17581, 17169, 17241, 17155, 17155, 16978, 16871, 16940, 16737, 16396, 17034, 16544, 16745, 16866, 16909, 16886, 17145, 16999, 17110, 17830, 18926, 20070, 21937, 23403, 25355, 27466, 29870, 31431, 33925, 36644, 38514, 41239, 43689, 46163, 48317, 50843, 53037, 54956, 57455, 59242, 61783, 63214, 65175, 65535, 65535, 2172, 2005]",1521.875,7.0,
633,"[0, 11929, 12178, 12246, 12283, 12369, 12612, 12507, 12763, 12821, 13082, 13031, 13306, 13502, 13489, 13700, 13679, 13797, 14193, 14038, 14327, 14519, 14527, 14972, 15064, 15520, 16183, 17728, 20181, 22942, 26225, 29322, 32822, 36803, 40784, 44856, 50104, 54679, 58855, 65493, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61158, 57064, 52003, 46919, 41500, 38132, 34293, 30994, 27208, 24114, 21491, 19304, 18300, 17855, 17901, 17556, 17563, 17147, 17207, 17143, 17163, 17025, 16878, 16926, 16748, 16370, 17073, 16562, 16728, 16846, 16925, 16918, 17172, 17032, 17062, 17816, 18930, 20063, 21904, 23340, 25250, 27445, 29851, 31369, 33879, 36621, 38476, 41212, 43649, 46084, 48259, 50897, 53059, 54939, 57456, 59171, 61778, 63160, 65172, 65535, 65535, 2147, 2023]",1521.875,7.0,
706,"[0, 11923, 12190, 12265, 12302, 12445, 12635, 12532, 12761, 12871, 13093, 13074, 13319, 13495, 13554, 13810, 13765, 13804, 14172, 14091, 14378, 14605, 14605, 14973, 15052, 15525, 16259, 17822, 20220, 22965, 26258, 29454, 32907, 36921, 40854, 44987, 50314, 54881, 59172, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61347, 57250, 52132, 46946, 41690, 38288, 34453, 31044, 27247, 24151, 21507, 19331, 18376, 17851, 17887, 17525, 17602, 17136, 17263, 17187, 17208, 17059, 16934, 16973, 16748, 16358, 17126, 16666, 16748, 16838, 16895, 16902, 17140, 17013, 17101, 17872, 18940, 20021, 21903, 23397, 25354, 27426, 29845, 31375, 33857, 36634, 38464, 41167, 43541, 46061, 48208, 50749, 52974, 54957, 57441, 59205, 61669, 63120, 65083, 65535, 65535, 2137, 2023]",1521.875,7.0,
779,"[0, 11992, 12283, 12285, 12322, 12410, 12588, 12612, 12808, 12883, 13101, 13070, 13372, 13538, 13559, 13776, 13772, 13908, 14196, 14082, 14370, 14577, 14649, 15030, 15168, 15558, 16277, 17928, 20388, 23143, 26451, 29652, 33161, 37177, 41180, 45300, 50696, 55219, 59570, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61778, 57600, 52454, 47219, 41771, 38334, 34548, 31223, 27372, 24126, 21551, 19407, 18391, 17971, 17934, 17578, 17644, 17164, 17237, 17141, 17212, 17132, 16949, 16995, 16727, 16402, 17090, 16627, 16790, 16901, 16961, 16903, 17150, 17039, 17097, 17886, 18942, 20039, 21938, 23394, 25282, 27513, 29879, 31425, 33870, 36622, 38461, 41179, 43570, 46009, 48263, 50841, 53010, 54933, 57480, 59209, 61714, 63079, 65034, 65535, 65535, 2167, 2012]",1527.578125,7.0,
852,"[0, 12035, 12250, 12404, 12455, 12591, 12780, 12651, 12866, 13000, 13183, 13198, 13463, 13647, 13652, 13891, 13862, 13958, 14357, 14246, 14507, 14730, 14723, 15138, 15175, 15671, 16444, 18017, 20490, 23245, 26567, 29838, 33255, 37381, 41403, 45557, 50936, 55499, 59801, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61930, 57674, 52513, 47376, 41992, 38519, 34634, 31305, 27424, 24298, 21669, 19445, 18518, 17956, 17987, 17668, 17756, 17290, 17287, 17249, 17311, 17194, 17056, 17055, 16834, 16498, 17231, 16743, 16851, 16929, 17079, 17060, 17293, 17131, 17200, 18014, 19044, 20193, 22062, 23537, 25474, 27658, 30076, 31592, 34068, 36815, 38708, 41427, 43793, 46309, 48491, 51064, 53295, 55208, 57688, 59455, 62029, 63460, 65440, 65535, 65535, 2159, 2063]",1527.578125,7.0,
