time,linescan,servo,motor,
Time,Linescan,Servo PWM,Motor PWM,
ms,ADC,PWM (us),%DC,
7,"[0, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 2996, 3588]",0.0,7.0,
51,"[0, 8497, 8767, 8786, 8805, 8848, 9009, 8939, 9070, 9133, 9306, 9276, 9489, 9525, 9568, 9706, 9693, 9831, 10031, 9935, 10142, 10294, 10247, 10548, 10584, 10858, 11331, 12289, 13826, 15498, 17523, 19511, 21617, 24099, 26556, 29063, 32365, 35115, 37762, 41758, 44015, 46673, 48629, 51132, 51877, 53783, 54843, 56574, 56675, 56977, 56185, 58206, 57372, 57126, 56951, 57135, 55980, 55630, 53939, 53374, 51396, 50015, 47324, 46123, 42173, 39057, 36505, 33399, 30242, 26959, 24879, 22501, 20415, 18083, 16116, 14528, 13174, 12574, 12298, 12290, 12067, 12121, 11806, 11856, 11826, 11836, 11769, 11656, 11679, 11494, 11298, 11727, 11395, 11520, 11614, 11664, 11630, 11788, 11697, 11707, 12145, 12777, 13511, 14626, 15526, 16643, 18000, 19442, 20386, 21927, 23583, 24690, 26437, 27932, 29431, 30757, 32317, 33615, 34795, 36396, 37487, 38991, 39901, 41031, 42815, 42115, 2156, 2004]",1744.296875,7.0,
124,"[0, 11960, 12250, 12351, 12432, 12527, 12674, 12600, 12834, 13002, 13169, 13136, 13422, 13537, 13572, 13777, 13811, 13914, 14282, 14176, 14436, 14639, 14613, 15004, 15136, 15608, 16322, 17952, 20439, 23220, 26475, 29710, 33168, 37193, 41125, 45257, 50562, 55104, 59383, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61252, 57149, 52028, 46819, 41570, 38124, 34384, 30981, 27140, 24002, 21442, 19230, 18298, 17786, 17875, 17521, 17581, 17140, 17173, 17113, 17144, 17057, 16911, 16928, 16681, 16321, 17034, 16621, 16726, 16845, 16859, 16827, 17113, 17000, 17110, 17901, 18954, 20150, 21973, 23463, 25367, 27531, 29878, 31449, 33950, 36672, 38540, 41278, 43668, 46136, 48295, 50902, 53031, 55020, 57504, 59217, 61746, 63241, 65150, 65535, 65535, 2158, 2057]",1459.140625,7.0,
197,"[0, 11997, 12282, 12410, 12459, 12569, 12714, 12645, 12874, 13054, 13273, 13178, 13467, 13567, 13652, 13868, 13907, 13951, 14326, 14166, 14503, 14685, 14718, 15133, 15217, 15666, 16427, 18094, 20624, 23391, 26706, 29921, 33408, 37463, 41386, 45514, 50960, 55581, 59830, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61405, 57144, 52045, 46931, 41553, 38134, 34396, 30997, 27153, 24029, 21400, 19257, 18400, 17861, 17930, 17609, 17635, 17227, 17269, 17115, 17172, 17073, 16876, 16976, 16771, 16455, 17166, 16649, 16827, 16935, 16930, 16935, 17219, 17082, 17227, 17951, 18979, 20216, 22044, 23503, 25410, 27599, 30012, 31582, 34036, 36836, 38684, 41411, 43861, 46366, 48588, 51067, 53308, 55166, 57698, 59469, 62007, 63405, 65383, 65535, 65535, 2145, 1984]",1527.578125,7.0,
270,"[0, 12041, 12354, 12465, 12443, 12549, 12714, 12684, 12942, 13030, 13202, 13184, 13473, 13666, 13649, 13906, 13861, 13943, 14338, 14238, 14501, 14698, 14669, 15079, 15179, 15678, 16353, 17921, 20336, 23041, 26428, 29558, 32991, 37031, 40953, 45052, 50385, 54954, 59164, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61725, 57622, 52442, 47301, 41871, 38492, 34683, 31261, 27420, 24303, 21642, 19427, 18444, 17932, 17953, 17581, 17666, 17223, 17325, 17190, 17189, 17110, 16948, 16991, 16774, 16430, 17169, 16721, 16805, 16884, 16939, 16918, 17183, 17061, 17150, 17889, 18963, 20105, 21927, 23417, 25310, 27377, 29793, 31355, 33874, 36644, 38447, 41207, 43670, 46062, 48223, 50741, 53005, 54884, 57372, 59136, 61666, 63070, 65120, 65535, 65535, 2167, 2048]",1527.578125,7.0,
343,"[0, 12050, 12351, 12460, 12476, 12564, 12703, 12695, 12945, 13029, 13258, 13192, 13470, 13613, 13650, 13892, 13887, 13945, 14299, 14230, 14504, 14736, 14724, 15110, 15179, 15601, 16381, 17936, 20426, 23134, 26430, 29660, 33121, 37139, 41161, 45332, 50692, 55196, 59523, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 62018, 57800, 52810, 47503, 42089, 38635, 34744, 31359, 27500, 24395, 21736, 19505, 18478, 17923, 17936, 17590, 17677, 17258, 17352, 17281, 17259, 17084, 16964, 17011, 16785, 16453, 17199, 16672, 16805, 16929, 16955, 16921, 17207, 17106, 17184, 17910, 18972, 20109, 22043, 23490, 25349, 27518, 29952, 31558, 34068, 36814, 38641, 41395, 43873, 46296, 48507, 51062, 53246, 55179, 57817, 59511, 62020, 63448, 65410, 65535, 65535, 2130, 2007]",1527.578125,7.0,
416,"[0, 12040, 12325, 12360, 12396, 12552, 12757, 12650, 12846, 12987, 13202, 13179, 13445, 13619, 13631, 13834, 13828, 13950, 14320, 14204, 14432, 14639, 14681, 15120, 15207, 15668, 16346, 17875, 20353, 23094, 26387, 29598, 33026, 37076, 41018, 45167, 50473, 55097, 59456, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61770, 57684, 52574, 47389, 42030, 38525, 34720, 31340, 27473, 24293, 21659, 19447, 18456, 17926, 17913, 17569, 17640, 17227, 17273, 17173, 17196, 17091, 16970, 17032, 16727, 16430, 17113, 16687, 16812, 16809, 16915, 16905, 17198, 17128, 17144, 17849, 18903, 20101, 21974, 23415, 25292, 27458, 29904, 31453, 33946, 36682, 38579, 41258, 43731, 46237, 48415, 50945, 53054, 55022, 57563, 59361, 61867, 63288, 65215, 65535, 65535, 2182, 2016]",1527.578125,7.0,
488,"[0, 11906, 12208, 12267, 12288, 12437, 12601, 12565, 12756, 12902, 13129, 13081, 13279, 13511, 13548, 13788, 13726, 13821, 14214, 14124, 14367, 14605, 14597, 14920, 15063, 15561, 16257, 17820, 20215, 22957, 26271, 29507, 32901, 36970, 40871, 45014, 50351, 54914, 59248, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61575, 57451, 52345, 47179, 41812, 38361, 34539, 31112, 27321, 24210, 21538, 19291, 18330, 17850, 17838, 17445, 17526, 17050, 17145, 17068, 17082, 17001, 16867, 16895, 16636, 16247, 17024, 16569, 16682, 16748, 16822, 16854, 17110, 16990, 17012, 17761, 18835, 19971, 21847, 23319, 25256, 27394, 29723, 31260, 33743, 36539, 38364, 41144, 43526, 45967, 48094, 50715, 52910, 54805, 57364, 59145, 61676, 63040, 65026, 65535, 65535, 2192, 2027]",1527.578125,7.0,
561,"[0, 12004, 12293, 12401, 12424, 12523, 12677, 12620, 12854, 12992, 13261, 13141, 13408, 13545, 13612, 13875, 13827, 13874, 14277, 14165, 14413, 14682, 14662, 15064, 15104, 15590, 16345, 17919, 20413, 23133, 26366, 29599, 33112, 37115, 41088, 45211, 50553, 55163, 59481, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61775, 57646, 52455, 47311, 41895, 38515, 34707, 31284, 27418, 24249, 21614, 19410, 18420, 17913, 17892, 17544, 17616, 17218, 17307, 17156, 17234, 17096, 16943, 17057, 16802, 16461, 17086, 16601, 16746, 16853, 16916, 16908, 17136, 17043, 17122, 17875, 18891, 20036, 21971, 23407, 25315, 27414, 29882, 31464, 33919, 36689, 38539, 41270, 43725, 46127, 48362, 50959, 53118, 55069, 57588, 59372, 61837, 63311, 65229, 65535, 65535, 2175, 2046]",1527.578125,7.0,
634,"[0, 12041, 12268, 12379, 12394, 12505, 12709, 12654, 12855, 13017, 13217, 13154, 13389, 13563, 13618, 13840, 13847, 13929, 14268, 14197, 14498, 14662, 14710, 15057, 15131, 15601, 16353, 17936, 20339, 23106, 26428, 29658, 33119, 37125, 41108, 45273, 50570, 55180, 59398, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61813, 57557, 52465, 47323, 41964, 38461, 34593, 31260, 27467, 24319, 21651, 19413, 18399, 17924, 17866, 17567, 17660, 17206, 17261, 17149, 17210, 17091, 16975, 17000, 16803, 16438, 17114, 16622, 16780, 16878, 16928, 16872, 17209, 17073, 17085, 17872, 18895, 20114, 21990, 23412, 25305, 27487, 29878, 31450, 33966, 36645, 38529, 41304, 43692, 46160, 48378, 50949, 53140, 55070, 57557, 59312, 61871, 63308, 65286, 65535, 65535, 2173, 2013]",1527.578125,7.0,
707,"[0, 12000, 12247, 12338, 12330, 12473, 12650, 12566, 12828, 12945, 13093, 13080, 13351, 13523, 13615, 13787, 13748, 13866, 14265, 14171, 14392, 14619, 14632, 14988, 15116, 15595, 16311, 17910, 20327, 23152, 26463, 29706, 33154, 37273, 41181, 45340, 50713, 55326, 59667, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61904, 57756, 52655, 47440, 41965, 38481, 34722, 31341, 27441, 24219, 21591, 19401, 18393, 17894, 17873, 17496, 17633, 17206, 17220, 17132, 17170, 17083, 16935, 16969, 16715, 16371, 17089, 16643, 16795, 16862, 16940, 16869, 17169, 17055, 17120, 17829, 18922, 20069, 21951, 23408, 25320, 27517, 29923, 31446, 33967, 36762, 38538, 41354, 43835, 46260, 48475, 51037, 53197, 55182, 57737, 59529, 62057, 63412, 65416, 65535, 65535, 2159, 2024]",1527.578125,7.0,
780,"[0, 11939, 12235, 12329, 12348, 12470, 12713, 12610, 12806, 12961, 13176, 13157, 13399, 13511, 13568, 13822, 13787, 13885, 14245, 14171, 14358, 14649, 14608, 15017, 15097, 15594, 16310, 17903, 20320, 23093, 26392, 29610, 33059, 37058, 41032, 45148, 50496, 55144, 59350, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 61617, 57423, 52335, 47183, 41836, 38415, 34571, 31240, 27332, 24145, 21522, 19312, 18344, 17879, 17876, 17528, 17567, 17164, 17265, 17155, 17116, 17040, 16894, 16991, 16722, 16327, 17072, 16642, 16771, 16842, 16877, 16899, 17191, 17034, 17143, 17830, 18813, 20020, 21909, 23363, 25281, 27356, 29756, 31327, 33840, 36583, 38467, 41130, 43559, 45970, 48243, 50767, 52995, 54935, 57441, 59148, 61677, 63086, 65061, 65535, 65535, 2143, 2037]",1527.578125,7.0,
