time,linescan,servo,camera,camera,camera,camera,camera,
Time,Linescan,Servo PWM,exposure time,max_i,max,line in view,linewdith,
ms,ADC,PWM (us),seconds,pixel pos,max line value,T or F,pixels,
20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1701, 1648, 1657, 1682, 1697, 1696, 1702, 1661, 1692, 1634, 1695, 1668, 1579, 1572, 1552, 1543, 1563, 1501, 1551, 1510, 1537, 1515, 1528, 1540, 1520, 1520, 1545, 1512, 1550, 1523, 1537, 1520, 1539, 1510, 1508, 1489, 1552, 1522, 1563, 1560, 1566, 1604, 1619, 1640, 1663, 1620, 1617, 1591, 1561, 1552, 1547, 1513, 1547, 1507, 1528, 1474, 1474, 1495, 1488, 1466, 1506, 1457, 1501, 1476, 1521, 1459, 1531, 1487, 1511, 1520, 1530, 1557, 1586, 1551, 1607, 1576, 1596, 1603, 1584, 1597, 1608, 1610, 1638, 1609, 1619, 1620, 1661, 1622, 1666, 1637, 1660, 1675, 1649, 1681, 1674, 1663, 1686, 1705, 1684, 1679, 1680, 1657, 1713, 1679, 1698, 1711, 1709, 1753, 1786, 1754, 1764, 1780, 1815, 1947]",1520.0,0.00011999999696854502,127,1999,0,0,
146,"[0, 1690, 1740, 1698, 1728, 1663, 1698, 1673, 1675, 1649, 1666, 1654, 1671, 1631, 1630, 1610, 1626, 1609, 1636, 1588, 1625, 1571, 1616, 1579, 1588, 1606, 1611, 1551, 1582, 1546, 1572, 1587, 1599, 1599, 1646, 1607, 1654, 1638, 1636, 1620, 1633, 1601, 1580, 1576, 1569, 1535, 1564, 1519, 1548, 1527, 1522, 1476, 1527, 1474, 1503, 1503, 1514, 1506, 1524, 1494, 1524, 1492, 1506, 1516, 1514, 1508, 1525, 1500, 1522, 1461, 1509, 1475, 1501, 1503, 1503, 1545, 1544, 1531, 1568, 1533, 1581, 1555, 1570, 1566, 1584, 1581, 1605, 1559, 1571, 1551, 1601, 1572, 1609, 1571, 1600, 1609, 1606, 1609, 1621, 1626, 1631, 1622, 1649, 1609, 1676, 1640, 1660, 1675, 1672, 1681, 1699, 1687, 1723, 1709, 1721, 1736, 1724, 1743, 1749, 1768, 1792, 1771, 1803, 1818, 1809, 1777, 1825, 1964]",1520.0,0.00016000001050997525,127,1964,0,0,
275,"[0, 1721, 1729, 1706, 1703, 1677, 1672, 1654, 1683, 1642, 1673, 1649, 1687, 1699, 1699, 1721, 1729, 1721, 1772, 1676, 1743, 1677, 1675, 1655, 1637, 1598, 1643, 1595, 1606, 1605, 1589, 1579, 1593, 1556, 1587, 1563, 1582, 1552, 1558, 1531, 1565, 1536, 1558, 1572, 1541, 1542, 1557, 1506, 1549, 1520, 1540, 1519, 1558, 1498, 1546, 1527, 1545, 1553, 1535, 1554, 1560, 1529, 1528, 1542, 1535, 1522, 1557, 1521, 1568, 1508, 1543, 1472, 1514, 1509, 1511, 1517, 1513, 1507, 1552, 1516, 1581, 1576, 1574, 1598, 1579, 1563, 1599, 1551, 1617, 1578, 1590, 1611, 1614, 1605, 1653, 1632, 1625, 1653, 1664, 1671, 1694, 1668, 1698, 1677, 1709, 1674, 1663, 1649, 1680, 1643, 1686, 1638, 1658, 1668, 1642, 1649, 1689, 1695, 1738, 1760, 1791, 1777, 1831, 1803, 1845, 1836, 1854, 2017]",1520.0,0.00010000000474974513,127,1960,0,0,
399,"[0, 1609, 1673, 1625, 1638, 1610, 1605, 1610, 1604, 1625, 1677, 1641, 1652, 1658, 1635, 1634, 1658, 1601, 1668, 1628, 1655, 1566, 1589, 1559, 1578, 1578, 1597, 1568, 1577, 1538, 1573, 1516, 1531, 1496, 1542, 1504, 1527, 1507, 1523, 1513, 1511, 1509, 1499, 1484, 1489, 1487, 1498, 1477, 1486, 1466, 1478, 1469, 1457, 1431, 1480, 1431, 1485, 1461, 1467, 1476, 1504, 1479, 1521, 1498, 1510, 1500, 1509, 1485, 1520, 1490, 1504, 1502, 1495, 1486, 1527, 1484, 1519, 1504, 1529, 1536, 1554, 1568, 1581, 1528, 1601, 1547, 1593, 1553, 1559, 1570, 1561, 1568, 1591, 1577, 1623, 1591, 1613, 1618, 1632, 1604, 1652, 1641, 1642, 1671, 1670, 1664, 1702, 1672, 1712, 1676, 1710, 1688, 1740, 1726, 1749, 1768, 1782, 1835, 1855, 1859, 1913, 1927, 2018, 2036, 2132, 2097, 2186, 2301]",1520.0,9.999999747378752e-06,127,2338,0,0,
536,"[0, 1536, 1607, 1552, 1556, 1546, 1539, 1549, 1546, 1509, 1539, 1504, 1498, 1507, 1502, 1490, 1510, 1488, 1517, 1480, 1490, 1501, 1487, 1467, 1509, 1461, 1502, 1462, 1478, 1467, 1468, 1439, 1469, 1438, 1484, 1433, 1474, 1444, 1457, 1433, 1468, 1454, 1469, 1458, 1469, 1475, 1507, 1487, 1495, 1515, 1531, 1502, 1550, 1496, 1504, 1473, 1519, 1496, 1515, 1516, 1551, 1517, 1553, 1569, 1560, 1538, 1593, 1549, 1580, 1540, 1577, 1575, 1592, 1586, 1619, 1560, 1637, 1595, 1631, 1623, 1605, 1624, 1630, 1612, 1650, 1644, 1680, 1668, 1683, 1649, 1701, 1717, 1735, 1782, 1816, 1859, 1936, 1942, 2031, 2035, 2096, 2222, 2293, 2320, 2356, 2417, 2458, 2516, 2523, 2544, 2629, 2627, 2616, 2585, 2580, 2457, 2565, 2593, 2715, 2861, 2861, 2655, 2455, 2265, 2116, 2154, 2394, 2666]",1434.0,9.999999747378752e-06,118,2904,1,9,
675,"[0, 1521, 1548, 1504, 1541, 1529, 1520, 1514, 1522, 1502, 1525, 1482, 1548, 1484, 1543, 1490, 1514, 1526, 1529, 1507, 1541, 1516, 1560, 1488, 1545, 1520, 1528, 1531, 1534, 1521, 1533, 1501, 1525, 1512, 1532, 1507, 1525, 1485, 1540, 1518, 1555, 1541, 1558, 1551, 1584, 1552, 1598, 1563, 1604, 1598, 1643, 1642, 1643, 1641, 1637, 1621, 1666, 1632, 1625, 1631, 1626, 1630, 1655, 1680, 1677, 1676, 1711, 1685, 1705, 1705, 1717, 1745, 1786, 1792, 1891, 1970, 2085, 2090, 2166, 2243, 2274, 2349, 2379, 2445, 2528, 2582, 2647, 2808, 2840, 2802, 2752, 2771, 2761, 2838, 2890, 2926, 2921, 3023, 2969, 2794, 2330, 2153, 2230, 2510, 2838, 3140, 3587, 3767, 3939, 4236, 4353, 4276, 4272, 4165, 4127, 4039, 3988, 3951, 3889, 3862, 3798, 3736, 3632, 3517, 3418, 3096, 3073, 2982]",1970.0001220703125,9.999999747378752e-06,107,4540,1,3,
805,"[0, 1520, 1581, 1555, 1531, 1546, 1543, 1522, 1561, 1530, 1565, 1543, 1568, 1544, 1573, 1551, 1554, 1537, 1583, 1583, 1596, 1560, 1641, 1592, 1626, 1643, 1639, 1600, 1638, 1619, 1625, 1630, 1632, 1603, 1648, 1594, 1635, 1592, 1594, 1623, 1617, 1622, 1646, 1638, 1684, 1648, 1681, 1663, 1691, 1688, 1732, 1698, 1755, 1726, 1796, 1801, 1878, 1889, 1944, 2010, 2070, 2110, 2199, 2256, 2413, 2472, 2584, 2663, 2746, 2725, 2846, 2796, 2763, 2811, 2890, 2934, 3032, 2892, 2833, 2763, 2638, 2482, 2313, 2488, 2720, 3083, 3519, 3905, 4297, 4922, 5032, 5232, 5069, 5082, 5096, 5017, 4945, 4928, 4837, 4785, 4762, 4672, 4579, 4496, 4449, 4364, 4264, 4244, 4025, 3975, 3892, 3610, 3451, 3196, 2844, 2623, 2426, 2295, 2199, 2119, 2141, 2082, 2069, 2030, 2027, 1991, 2002, 2096]",1970.0001220703125,9.999999747378752e-06,88,5080,1,3,
924,"[0, 1575, 1626, 1605, 1621, 1607, 1619, 1585, 1599, 1599, 1594, 1582, 1639, 1587, 1641, 1588, 1616, 1632, 1662, 1628, 1655, 1638, 1616, 1614, 1647, 1605, 1656, 1622, 1644, 1633, 1635, 1617, 1639, 1659, 1681, 1660, 1707, 1669, 1729, 1745, 1801, 1823, 1897, 1990, 2046, 2078, 2166, 2192, 2214, 2232, 2258, 2296, 2326, 2290, 2360, 2331, 2234, 2236, 2262, 2265, 2288, 2295, 2290, 2257, 2246, 2181, 2235, 2245, 2188, 2081, 2075, 2016, 1990, 1945, 1915, 1978, 2057, 2130, 2298, 2386, 2464, 2400, 2383, 2422, 2400, 2390, 2411, 2362, 2409, 2328, 2339, 2383, 2300, 2270, 2292, 2254, 2271, 2249, 2239, 2213, 2222, 2186, 2210, 2148, 2175, 2128, 2092, 2105, 2068, 2063, 2083, 2028, 2076, 2035, 2031, 2018, 2008, 1977, 2020, 2004, 1989, 1987, 1974, 1967, 1976, 1941, 1972, 2081]",1970.0001220703125,9.999999747378752e-06,87,2321,1,3,
