time,linescan,servo,camera,camera,camera,cam_avg,
Time,Linescan,Servo PWM,exposure time,max,max_i,Camera Average,
ms,ADC,PWM (us),seconds,cam max value,cam max index,(0-65535),
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5145, 5215, 5328, 5410, 5349, 5428, 5464, 5425, 5405, 5404, 5393, 5534, 5514, 5007, 4945, 4985, 5050, 5025, 5050, 5352, 5840, 6353, 6547, 6619, 6621, 6697, 6721, 6765, 6736, 6782, 6848, 6775, 6696, 6724, 6307, 5785, 5323, 5224, 5164, 5260, 5363, 5340, 5238, 5165, 5270, 5317, 5193, 5184, 5311, 5293, 5233, 5318, 5287, 5180, 5058, 5196, 5279, 5295, 5151, 5255, 5275, 5238, 5243, 5336, 5262, 5322, 5315, 5183, 5088, 5146, 5089, 5146, 5167, 5302, 5146, 5249, 5384, 5281, 5327, 5332, 5278, 5397, 5267, 5245, 5295, 5287, 5150, 5150, 5133, 5254, 5267, 5263, 5268, 5272, 5185, 5188, 5153, 5112, 5104, 5201, 5118, 5178, 5146, 5119, 5204, 5260, 5171, 5223, 5208, 5201, 5186, 5348, 5959, 31]",1422.175048828125,0.0010000000474974513,5329,59,106,
117,"[4252, 4476, 4452, 4464, 4424, 4489, 4460, 4554, 4524, 4582, 4533, 4713, 4644, 4669, 4712, 4771, 4763, 4927, 4830, 4859, 4881, 4930, 4805, 4832, 4903, 5011, 4924, 5004, 4996, 4998, 5003, 5035, 5129, 5504, 5975, 6503, 6577, 6544, 6644, 6670, 6678, 6695, 6762, 6778, 6792, 6811, 6737, 6550, 6140, 5603, 5261, 5221, 5101, 5241, 5405, 5316, 5195, 5221, 5271, 5297, 5239, 5231, 5266, 5239, 5283, 5271, 5237, 5189, 5052, 5208, 5290, 5243, 5135, 5235, 5206, 5248, 5227, 5264, 5222, 5351, 5243, 5131, 5193, 5155, 5045, 5188, 5197, 5270, 5237, 5261, 5359, 5320, 5294, 5376, 5367, 5316, 5251, 5264, 5253, 5303, 5171, 5166, 5142, 5298, 5278, 5245, 5258, 5211, 5120, 5184, 5142, 5154, 5087, 5201, 5133, 5146, 5155, 5194, 5174, 5237, 5183, 5201, 5189, 5234, 5152, 5428, 5970, 51]",1743.5999755859375,0.0010000000474974513,6826,42,121,
222,"[4272, 4443, 4485, 4442, 4389, 4517, 4473, 4527, 4510, 4601, 4524, 4656, 4657, 4639, 4682, 4784, 4793, 4867, 4868, 4920, 4873, 4864, 4841, 4833, 4866, 5052, 4959, 4923, 4961, 5025, 4984, 5011, 5157, 5564, 6041, 6543, 6513, 6584, 6684, 6668, 6613, 6729, 6797, 6755, 6727, 6761, 6671, 6469, 5960, 5458, 5250, 5172, 5069, 5243, 5316, 5270, 5175, 5206, 5218, 5234, 5249, 5183, 5192, 5274, 5262, 5237, 5220, 5113, 5016, 5296, 5234, 5219, 5183, 5200, 5189, 5284, 5251, 5283, 5292, 5315, 5210, 5144, 5203, 5109, 5100, 5249, 5174, 5264, 5220, 5322, 5335, 5278, 5343, 5313, 5324, 5387, 5240, 5248, 5319, 5289, 5123, 5162, 5134, 5244, 5204, 5257, 5217, 5169, 5170, 5135, 5111, 5184, 5090, 5148, 5119, 5072, 5123, 5208, 5179, 5182, 5195, 5171, 5142, 5220, 5125, 5307, 5950, 27]",1743.5999755859375,0.0010000000474974513,6787,43,98,
330,"[4234, 4480, 4434, 4413, 4371, 4501, 4492, 4505, 4504, 4595, 4509, 4660, 4640, 4652, 4698, 4773, 4739, 4849, 4819, 4893, 4829, 4887, 4804, 4782, 4822, 4967, 4931, 4932, 4974, 4991, 4958, 5041, 5104, 5562, 6030, 6551, 6510, 6554, 6607, 6620, 6607, 6722, 6727, 6695, 6711, 6694, 6643, 6450, 5964, 5480, 5255, 5180, 5099, 5269, 5281, 5238, 5152, 5128, 5258, 5258, 5129, 5182, 5241, 5194, 5280, 5318, 5203, 5145, 5075, 5244, 5190, 5299, 5161, 5224, 5222, 5268, 5170, 5336, 5262, 5260, 5252, 5140, 5136, 5145, 5077, 5196, 5256, 5280, 5212, 5299, 5340, 5291, 5380, 5306, 5342, 5384, 5215, 5248, 5300, 5262, 5179, 5141, 5117, 5297, 5258, 5246, 5236, 5225, 5135, 5154, 5187, 5125, 5110, 5157, 5064, 5119, 5162, 5125, 5151, 5214, 5135, 5196, 5164, 5184, 5218, 5362, 5956, 78]",1970.0001220703125,0.0010000000474974513,6756,42,104,
439,"[4300, 4457, 4435, 4450, 4375, 4508, 4502, 4538, 4532, 4620, 4551, 4639, 4656, 4685, 4715, 4766, 4768, 4930, 4819, 4857, 4871, 4932, 4840, 4796, 4885, 5005, 4934, 4948, 4932, 4971, 4999, 5049, 5077, 5550, 6107, 6522, 6550, 6562, 6652, 6666, 6616, 6715, 6720, 6709, 6715, 6710, 6634, 6501, 5935, 5436, 5269, 5131, 5061, 5286, 5313, 5268, 5126, 5206, 5292, 5266, 5177, 5230, 5184, 5280, 5290, 5260, 5235, 5188, 5062, 5288, 5193, 5266, 5172, 5195, 5240, 5286, 5177, 5314, 5282, 5249, 5270, 5166, 5119, 5097, 5103, 5141, 5209, 5304, 5165, 5272, 5368, 5278, 5322, 5360, 5306, 5364, 5213, 5278, 5331, 5269, 5175, 5152, 5136, 5261, 5271, 5257, 5275, 5210, 5105, 5162, 5125, 5200, 5096, 5171, 5158, 5121, 5153, 5218, 5170, 5245, 5199, 5172, 5193, 5200, 5217, 5393, 5926, 79]",1743.5999755859375,0.0010000000474974513,6749,44,95,
547,"[4272, 4461, 4474, 4434, 4436, 4507, 4476, 4592, 4562, 4599, 4525, 4669, 4635, 4674, 4675, 4792, 4767, 4870, 4800, 4870, 4901, 4901, 4811, 4808, 4903, 4969, 4918, 4994, 4973, 4974, 4963, 5004, 5062, 5573, 6069, 6486, 6521, 6551, 6679, 6677, 6634, 6732, 6783, 6720, 6734, 6722, 6650, 6542, 5980, 5453, 5290, 5186, 5102, 5309, 5332, 5289, 5212, 5226, 5242, 5307, 5239, 5193, 5246, 5281, 5220, 5318, 5246, 5136, 5079, 5249, 5244, 5256, 5182, 5188, 5258, 5303, 5229, 5283, 5304, 5262, 5259, 5225, 5130, 5153, 5091, 5140, 5204, 5303, 5189, 5298, 5364, 5285, 5313, 5341, 5355, 5394, 5273, 5233, 5334, 5358, 5155, 5151, 5190, 5278, 5236, 5298, 5217, 5200, 5178, 5172, 5144, 5163, 5141, 5121, 5074, 5149, 5116, 5133, 5228, 5193, 5167, 5211, 5128, 5215, 5210, 5326, 5987, 33]",1110.0,0.0010000000474974513,6784,45,108,
652,"[4270, 4432, 4447, 4470, 4380, 4497, 4520, 4560, 4545, 4542, 4578, 4678, 4617, 4674, 4727, 4758, 4738, 4921, 4827, 4872, 4896, 4921, 4855, 4804, 4867, 5043, 4948, 4956, 4958, 5028, 4928, 5070, 5102, 5409, 5915, 6478, 6496, 6579, 6681, 6645, 6579, 6714, 6765, 6768, 6737, 6754, 6742, 6563, 6114, 5603, 5246, 5234, 5073, 5205, 5331, 5325, 5202, 5227, 5248, 5230, 5281, 5199, 5253, 5246, 5282, 5293, 5214, 5198, 5078, 5232, 5289, 5284, 5111, 5257, 5190, 5227, 5178, 5303, 5298, 5275, 5233, 5181, 5132, 5146, 5084, 5112, 5214, 5326, 5163, 5243, 5390, 5303, 5261, 5354, 5352, 5327, 5289, 5257, 5216, 5348, 5199, 5072, 5181, 5244, 5279, 5248, 5211, 5245, 5173, 5153, 5181, 5142, 5077, 5198, 5132, 5128, 5117, 5135, 5197, 5247, 5170, 5183, 5184, 5173, 5193, 5375, 5932, 65]",1743.5999755859375,0.0010000000474974513,6766,43,97,
760,"[4318, 4492, 4428, 4478, 4478, 4466, 4469, 4595, 4530, 4568, 4540, 4708, 4655, 4658, 4720, 4766, 4760, 4931, 4818, 4873, 4870, 4924, 4820, 4794, 4880, 5002, 4969, 4995, 4913, 4988, 5035, 4979, 5062, 5520, 6057, 6481, 6506, 6573, 6674, 6661, 6676, 6667, 6707, 6766, 6768, 6681, 6665, 6572, 5971, 5540, 5272, 5155, 5069, 5256, 5343, 5250, 5182, 5213, 5237, 5277, 5269, 5163, 5221, 5265, 5231, 5306, 5235, 5184, 5047, 5274, 5245, 5222, 5223, 5242, 5204, 5319, 5208, 5275, 5309, 5245, 5234, 5145, 5164, 5187, 5081, 5173, 5223, 5256, 5175, 5305, 5360, 5267, 5325, 5353, 5320, 5336, 5271, 5251, 5293, 5320, 5148, 5149, 5204, 5255, 5283, 5287, 5248, 5209, 5163, 5191, 5172, 5132, 5089, 5179, 5143, 5124, 5161, 5145, 5199, 5234, 5154, 5203, 5193, 5207, 5190, 5379, 5953, 51]",1743.5999755859375,0.0010000000474974513,6751,44,99,
